index,totalseconds,Pre_nuts_attitude,Senario,Impression_of_host_or_comments,Halo_or_Bandwagon_effect_feedback,After_nuts_attitude,Buying_intention,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimagedirectionoflivecomments,Eventuallydoyouliketheproduct,Doyouagreetobuyeventually,Gender,Age,Monthlyincome,totalvalue
576,113,6,4,7,6,6,6,3,5,3,6,5,1,2,2,47
585,105,7,4,5,5,6,4,3,6,3,4,4,1,6,6,41
595,198,6,4,7,6,4,7,3,7,3,4,6,1,3,4,47
1,85,4,5,1,1,3,3,3,3,1,3,2,2,2,4,20
11,84,5,5,3,5,5,4,3,4,1,5,5,2,2,2,36
56,62,7,5,3,4,5,5,3,6,1,6,4,2,4,2,40
111,218,6,5,3,7,4,3,3,6,1,5,5,2,6,3,39
148,44,3,5,3,3,3,4,3,2,2,4,3,1,6,4,25
168,111,3,5,3,3,3,3,3,3,1,3,3,2,2,2,24
11,182,5,5,1,1,3,2,3,3,1,1,4,2,2,2,20
12,153,1,5,2,2,2,1,3,3,1,1,5,1,4,7,17
69,170,5,5,1,3,2,1,3,5,2,1,6,1,7,7,24
123,136,1,5,1,2,2,1,3,4,1,1,2,2,5,7,14
154,90,2,5,1,4,1,2,3,2,3,3,5,2,4,7,20
164,121,5,5,3,4,6,6,3,6,1,6,4,1,1,1,40
197,125,6,5,1,4,3,2,3,6,1,1,3,1,2,3,26
205,167,7,5,3,2,6,3,3,6,1,5,5,1,2,2,37
208,191,1,5,1,2,2,2,3,3,1,1,1,1,3,4,13
245,93,7,5,2,4,2,1,3,7,1,2,2,1,2,2,27
302,144,3,5,1,2,2,3,3,4,1,1,3,1,7,2,19
313,179,1,5,1,2,2,1,3,2,1,1,1,1,2,3,11
351,108,6,5,2,3,2,3,3,2,1,1,5,1,7,1,24
444,199,3,5,1,2,2,3,3,5,1,1,4,1,3,4,21
494,180,5,5,1,2,3,3,3,5,1,1,5,1,3,4,25
506,165,5,5,3,2,2,2,3,2,1,1,6,1,3,3,23
574,137,5,5,3,2,3,1,3,3,1,1,5,2,2,3,23
24,45,3,5,1,2,3,2,3,3,3,2,2,1,2,2,18
30,187,7,5,2,4,5,5,3,7,3,5,5,2,4,1,40
36,81,5,5,3,4,4,3,3,5,2,5,3,1,5,1,32
97,59,6,5,2,6,2,2,3,6,3,2,2,1,4,1,28
114,143,7,5,1,7,7,7,3,7,2,7,7,2,6,2,50
119,100,2,5,1,2,2,2,3,2,1,2,2,2,6,2,15
167,72,5,5,3,6,5,1,3,5,3,2,1,2,2,2,28
174,74,3,5,3,5,3,2,3,4,3,3,2,1,3,2,25
177,53,5,5,1,7,5,5,3,5,2,5,5,2,4,3,38
182,88,4,5,2,7,3,3,3,2,3,3,3,2,4,2,27
20,116,6,5,1,4,2,1,3,7,3,1,1,2,3,3,23
50,103,5,5,3,4,6,6,3,4,3,6,5,1,7,1,39
68,159,1,5,1,5,2,1,3,4,3,2,4,1,7,6,20
161,193,5,5,1,4,2,1,3,7,3,3,6,2,1,1,29
242,139,4,5,1,6,3,1,3,2,2,1,6,2,1,1,24
285,114,5,5,1,7,1,1,3,7,3,4,6,1,5,3,32
325,168,2,5,1,4,1,1,3,5,3,2,5,2,4,5,21
355,172,6,5,1,4,1,3,3,6,1,2,3,1,7,1,26
361,116,2,5,3,7,2,1,3,4,3,1,4,2,4,5,24
420,170,6,5,3,3,1,1,3,4,3,1,1,1,5,3,20
464,128,4,5,2,6,2,2,3,4,3,1,1,2,7,5,22
512,143,5,5,1,6,2,1,3,7,3,1,4,2,7,3,27
515,133,4,5,2,7,2,5,3,4,3,3,1,1,7,6,28
544,103,1,5,2,6,2,3,3,3,3,1,1,2,2,3,19
545,106,7,5,1,4,2,2,3,5,3,1,3,1,4,7,25
552,153,1,5,3,1,6,6,3,3,3,5,1,1,3,4,26
587,194,6,5,1,4,2,3,3,6,3,1,4,2,3,4,27
13,67,4,5,1,7,1,1,3,4,3,1,1,1,3,7,20
104,121,2,5,2,3,3,3,3,3,2,4,3,2,5,1,23
130,43,2,5,2,2,2,1,3,1,1,2,5,2,6,2,17
166,72,4,5,3,4,3,4,3,2,2,3,3,2,2,2,26
172,40,6,5,3,6,4,3,3,5,2,4,2,2,2,2,33
190,104,2,5,3,2,2,2,3,2,2,2,2,2,3,2,17
27,102,2,5,1,1,3,3,3,5,2,1,5,2,3,3,21
59,134,5,5,1,3,3,2,3,6,2,1,1,2,3,3,22
80,99,6,5,3,1,4,3,3,3,2,3,3,2,1,1,26
82,91,1,5,3,4,3,5,3,4,2,5,4,2,2,3,29
86,136,3,5,1,2,2,1,3,2,2,4,7,1,3,3,22
98,121,1,5,2,4,1,1,3,3,2,1,1,2,2,2,14
210,185,1,5,1,1,2,3,3,1,2,1,6,2,5,4,16
214,200,1,5,2,3,2,3,3,1,2,1,3,1,2,2,16
223,88,1,5,1,4,2,1,3,3,2,1,3,1,7,2,16
228,114,1,5,3,3,2,1,3,1,2,2,4,1,1,1,17
239,165,6,5,3,1,3,1,3,7,2,1,5,2,4,3,27
243,133,3,5,1,2,2,1,3,4,3,1,1,2,7,5,15
276,123,5,5,1,1,2,2,3,5,3,2,4,2,1,1,22
280,101,2,5,1,3,3,1,3,5,2,1,1,1,2,3,17
282,145,4,5,1,5,1,3,3,7,2,1,2,1,7,1,24
317,112,2,5,3,3,2,2,3,4,2,1,5,2,7,2,22
347,129,2,5,1,4,1,3,3,1,2,1,4,2,1,1,17
360,103,5,5,3,4,2,1,3,6,2,1,1,1,4,5,23
371,161,1,5,2,1,3,5,3,3,2,3,6,1,2,3,24
416,163,5,5,1,2,2,3,3,4,3,1,4,2,6,3,22
433,147,1,5,3,6,6,6,3,1,2,6,5,1,5,3,34
474,145,1,5,1,3,2,2,3,1,2,1,5,1,2,2,16
526,99,5,5,1,2,1,3,3,3,2,3,4,1,3,3,22
533,168,6,5,3,1,6,5,3,5,2,5,5,1,7,2,36
549,172,1,5,3,2,2,1,3,1,2,1,4,2,3,3,15
573,116,7,5,3,1,6,3,3,5,2,5,5,1,1,1,35
598,199,5,5,3,2,2,1,3,3,2,1,5,2,4,3,22
90,49,4,6,4,4,4,4,3,4,2,4,4,1,4,2,32
92,155,5,6,4,5,7,5,3,7,2,6,6,2,5,1,45
132,53,5,6,4,4,4,5,3,4,2,4,4,1,6,3,34
136,79,7,6,4,1,4,1,3,7,2,1,1,2,6,2,26
144,26,4,6,4,4,4,4,3,4,2,4,4,2,7,2,32
151,63,7,6,4,3,4,5,3,5,1,5,5,1,4,2,38
171,101,5,6,4,4,5,5,3,5,1,4,5,2,2,2,37
188,19,4,6,4,4,4,4,3,4,2,4,4,1,4,3,32
197,105,4,6,4,5,5,4,3,4,2,4,6,2,5,3,36
16,176,6,6,4,3,5,4,3,6,1,4,6,1,3,3,38
23,96,1,6,4,3,3,2,3,3,2,3,4,1,4,7,23
53,123,6,6,4,7,6,5,3,7,1,7,4,1,3,4,46
88,181,6,6,4,7,6,6,3,5,1,6,2,2,3,4,42
96,103,1,6,4,3,3,5,3,1,1,2,6,1,2,3,25
128,203,5,6,4,6,7,6,3,4,1,6,3,1,2,3,41
132,106,6,6,4,7,6,6,3,5,1,4,1,1,4,6,39
139,140,1,6,4,7,5,6,3,1,1,6,4,2,7,7,34
171,141,5,6,4,6,4,6,3,6,1,5,4,2,7,5,40
181,85,6,6,4,3,7,5,3,5,1,6,5,2,2,3,41
203,162,7,6,4,6,6,5,3,4,1,6,6,1,2,2,44
253,147,5,6,4,2,6,4,3,6,1,4,4,1,7,2,35
255,199,1,6,4,2,3,5,3,3,1,4,6,2,3,3,28
261,104,2,6,4,3,6,3,3,2,1,5,4,1,4,5,29
293,102,7,6,4,4,6,6,3,4,1,5,5,1,5,3,41
321,168,3,6,4,2,2,2,3,4,1,4,6,1,4,3,27
323,182,6,6,4,4,6,5,3,5,1,6,1,1,7,2,37
337,113,6,6,4,7,7,7,3,2,1,4,5,1,2,3,42
354,86,5,6,4,5,7,5,3,7,1,7,1,1,3,4,41
379,107,6,6,4,7,6,6,3,7,1,5,5,2,2,3,46
402,142,5,6,4,5,6,6,3,6,1,6,6,1,4,7,44
415,167,5,6,4,6,6,6,3,7,1,7,1,2,5,5,42
417,132,5,6,4,2,4,4,3,7,1,6,5,2,1,1,37
451,183,5,6,4,6,5,7,3,7,1,7,3,1,3,4,44
518,125,5,6,4,6,7,6,3,4,1,5,1,2,2,3,38
527,112,7,6,4,4,4,6,3,7,1,6,5,1,2,3,43
554,187,1,6,4,7,6,6,3,1,1,5,4,2,2,3,34
9,50,4,6,4,4,3,4,3,4,2,4,4,2,2,2,31
32,181,5,6,4,4,4,3,3,4,2,4,3,1,5,2,31
71,50,6,6,4,4,4,4,3,5,2,4,5,1,6,1,36
76,36,5,6,4,4,4,4,3,5,2,4,4,2,2,2,34
84,48,4,6,4,4,3,3,3,3,3,4,3,2,5,2,28
89,31,4,6,4,4,4,4,3,4,2,4,4,1,4,2,32
124,233,4,6,4,4,5,4,3,4,3,3,3,1,5,2,31
14,133,7,6,4,5,6,5,3,7,3,7,6,1,2,3,47
25,133,7,6,4,3,7,5,3,4,1,6,3,1,7,7,39
35,162,3,6,4,2,5,6,3,3,3,6,3,1,3,3,32
63,144,1,6,4,2,6,7,3,1,3,5,1,1,2,3,27
64,171,5,6,4,1,6,7,3,4,3,5,3,1,2,3,35
81,185,5,6,4,5,6,6,3,7,3,5,4,2,5,3,42
92,151,5,6,4,3,6,7,3,7,3,4,5,1,4,3,41
166,101,4,6,4,7,4,5,3,2,3,6,5,2,3,4,37
185,191,5,6,4,5,4,6,3,2,2,6,4,2,3,4,36
186,127,1,6,4,1,6,6,3,1,3,4,4,1,1,1,27
272,150,7,6,4,3,6,7,3,5,3,7,4,1,5,7,43
273,118,6,6,4,2,7,6,3,7,1,5,7,2,1,1,44
277,163,1,6,4,5,2,2,3,3,3,3,5,2,4,3,25
286,119,6,6,4,4,6,6,3,5,1,4,2,1,3,3,37
324,185,5,6,4,4,6,5,3,3,3,7,3,1,3,3,37
330,143,6,6,4,2,6,7,3,2,1,7,1,2,2,3,35
365,153,1,6,4,4,7,7,3,1,3,7,4,1,3,3,35
403,101,5,6,4,3,6,7,3,6,3,7,5,2,2,3,43
456,101,5,6,4,4,7,7,3,6,3,6,3,1,7,7,42
471,185,5,6,4,2,6,7,3,2,3,5,5,2,7,7,36
479,160,5,6,4,2,6,7,3,4,3,7,1,2,3,3,36
531,84,6,6,4,2,6,7,3,5,3,7,6,2,7,3,43
560,111,6,6,4,3,6,7,3,7,3,7,4,1,4,4,44
565,192,6,6,4,3,6,5,3,5,3,6,7,1,7,5,42
5,74,5,6,4,5,4,4,3,4,2,4,4,1,2,4,34
22,67,5,6,4,4,3,2,3,3,2,4,2,1,4,3,27
63,38,4,6,4,4,4,4,3,4,2,4,4,1,4,2,32
77,49,3,6,4,5,4,4,3,4,2,5,1,1,6,1,30
98,68,7,6,4,2,7,4,3,6,2,4,4,2,4,2,38
125,43,4,6,4,4,7,4,3,7,3,4,4,1,4,3,38
175,99,5,6,4,1,6,4,3,7,1,7,7,2,3,2,41
181,29,4,6,4,4,4,4,3,4,2,4,4,1,5,2,32
198,79,4,6,4,7,4,4,3,4,2,4,3,2,2,2,34
10,131,6,6,4,4,6,7,3,5,2,5,2,1,2,3,39
55,197,7,6,4,5,7,6,3,5,2,5,5,2,5,5,44
99,94,5,6,4,7,7,6,3,6,2,4,4,1,3,3,43
113,86,5,6,4,7,6,5,3,6,2,5,4,2,3,3,42
142,179,5,6,4,6,6,7,3,7,2,5,4,2,5,6,44
149,187,1,6,4,7,6,5,3,2,2,7,1,1,7,1,33
151,89,6,6,4,3,5,4,3,4,2,6,4,1,4,3,36
153,121,2,6,4,5,6,4,3,6,2,4,1,1,3,3,32
169,134,4,6,4,7,6,6,3,5,1,7,1,2,6,7,40
188,108,7,6,4,6,6,5,3,6,2,6,5,1,2,3,45
196,89,7,6,4,7,6,7,3,7,2,7,6,1,7,2,51
256,142,7,6,4,7,7,5,3,5,2,5,1,2,5,7,41
288,168,5,6,4,5,6,7,3,7,2,4,5,2,4,3,43
291,167,2,6,4,5,6,7,3,4,2,5,4,2,2,2,37
300,109,6,6,4,5,6,4,3,4,2,5,1,1,7,2,35
318,189,6,6,4,7,6,7,3,4,2,6,5,2,1,1,45
335,107,5,6,4,6,7,5,3,7,2,7,2,2,2,2,43
376,194,7,6,4,4,7,7,3,4,2,6,2,1,3,4,41
452,96,1,6,4,6,6,7,3,1,2,7,4,1,4,6,36
454,175,5,6,4,6,6,6,3,7,2,4,1,1,7,4,39
483,98,5,6,4,5,6,7,3,7,2,7,2,2,7,1,43
514,155,5,6,4,7,6,7,3,6,2,7,1,2,3,4,43
524,149,3,6,4,3,5,4,3,5,2,4,6,2,4,6,34
525,162,3,6,4,1,4,2,3,4,2,2,4,1,5,7,24
571,186,1,6,4,4,6,5,3,3,2,6,1,1,4,4,30
6,41,7,7,7,7,7,7,3,7,1,7,7,2,6,1,56
15,37,7,7,5,6,6,6,3,6,2,6,6,2,3,2,48
27,33,7,7,7,7,6,6,3,6,1,6,6,1,3,3,51
34,71,4,7,5,6,4,6,3,4,2,5,4,2,3,2,38
40,37,7,7,6,6,6,5,3,6,1,7,6,2,4,2,49
53,62,4,7,7,4,4,4,3,4,1,4,4,2,4,3,35
61,83,7,7,7,4,7,6,3,7,1,6,6,2,4,2,50
72,133,7,7,7,7,7,7,3,7,2,7,4,1,5,1,53
100,28,7,7,7,7,7,7,3,7,1,7,7,2,4,3,56
116,73,7,7,6,6,7,6,3,6,1,7,6,1,5,2,51
121,50,7,7,7,7,7,7,3,7,1,7,7,2,6,1,56
160,72,5,7,6,4,5,4,3,5,1,5,4,2,2,2,38
176,64,7,7,6,2,7,7,3,7,2,7,7,2,4,2,50
186,33,7,7,7,7,7,7,3,7,1,7,7,1,4,3,56
15,121,5,7,6,7,7,5,3,6,1,7,5,1,2,3,48
28,92,5,7,7,7,6,6,3,5,3,7,5,2,3,4,48
36,148,5,7,7,6,6,7,3,4,1,4,4,2,1,1,43
42,83,7,7,5,5,7,5,3,5,1,4,3,2,4,7,41
51,170,5,7,5,5,7,7,3,7,1,7,1,1,3,3,44
60,147,6,7,6,3,4,5,3,3,1,4,6,1,7,1,37
71,106,5,7,6,7,6,7,3,6,1,7,5,2,3,4,49
74,142,5,7,7,5,4,6,3,6,1,5,4,1,3,3,42
77,124,3,7,7,5,7,7,3,6,1,7,1,2,2,3,43
89,92,4,7,5,7,6,6,3,5,3,4,1,1,1,1,38
108,94,5,7,7,6,5,7,3,7,1,4,5,2,2,3,46
127,108,3,7,7,6,7,7,3,5,1,7,1,1,2,2,43
129,119,5,7,7,6,6,7,3,6,1,5,4,1,4,6,46
143,175,5,7,6,4,6,4,3,7,2,4,5,1,2,2,41
176,131,7,7,7,7,3,7,3,4,1,6,6,1,4,7,47
189,129,5,7,7,7,4,7,3,5,1,7,3,2,7,7,45
194,181,5,7,7,5,6,4,3,6,1,7,5,1,4,5,45
198,126,6,7,7,6,6,5,3,5,1,4,4,1,3,4,43
202,200,6,7,6,7,7,7,3,6,1,5,5,1,2,3,49
211,171,4,7,5,7,4,4,3,5,1,7,4,1,3,4,40
218,116,5,7,5,6,7,7,3,6,1,6,4,2,4,5,46
224,130,2,7,6,7,6,4,3,1,1,4,1,2,2,3,31
238,83,5,7,6,6,7,7,3,6,1,5,4,2,2,3,46
248,92,6,7,7,7,4,6,3,7,1,5,4,1,5,7,46
252,126,6,7,5,5,7,7,3,6,1,7,6,2,2,2,49
265,95,4,7,5,5,7,6,3,6,1,7,5,1,2,2,45
271,185,4,7,7,7,3,5,3,5,1,7,4,2,3,3,42
275,149,3,7,7,7,6,7,3,4,1,7,1,2,1,1,42
305,174,1,7,7,6,7,7,3,1,1,7,5,1,7,3,41
332,166,6,7,5,2,6,3,3,5,1,5,4,1,3,3,36
350,187,7,7,6,7,6,6,3,7,1,6,1,2,3,3,46
358,167,7,7,5,5,6,6,3,4,1,7,5,2,1,1,45
380,138,5,7,6,6,6,6,3,4,1,7,4,1,7,3,44
386,164,5,7,5,5,7,4,3,7,1,7,5,1,2,3,45
390,122,5,7,7,7,6,4,3,4,1,6,4,1,4,5,43
405,111,5,7,6,5,6,4,3,4,1,7,4,2,2,2,41
421,173,7,7,6,7,6,5,3,4,1,4,5,2,4,6,44
429,139,6,7,7,5,7,5,3,5,1,7,1,1,5,7,43
430,102,6,7,7,7,6,6,3,4,1,5,5,2,4,4,46
435,93,6,7,7,7,7,5,3,7,1,7,5,1,5,5,51
459,158,6,7,6,6,3,6,3,7,1,6,3,2,7,1,43
480,143,5,7,5,7,6,7,3,4,1,6,4,2,7,7,44
485,96,5,7,7,7,6,6,3,7,1,7,4,1,7,3,49
489,120,6,7,5,5,6,4,3,6,1,7,5,1,1,1,44
499,82,6,7,7,7,7,5,3,7,1,5,6,2,2,2,50
504,171,1,7,7,6,4,7,3,1,1,4,4,2,3,3,34
509,146,1,7,6,7,6,5,3,1,1,3,1,2,3,4,30
542,90,7,7,5,3,3,6,3,7,1,3,3,1,3,3,37
566,168,6,7,6,7,6,7,3,7,1,4,3,2,2,3,46
570,161,6,7,5,7,6,7,3,6,1,4,4,2,1,1,45
579,160,7,7,7,7,6,7,3,6,1,5,3,1,7,3,48
584,174,7,7,6,6,7,4,3,5,1,5,5,1,1,1,45
593,120,7,7,5,6,6,7,3,7,1,4,2,2,1,1,44
7,333,6,7,7,4,5,4,3,5,2,4,3,2,2,2,38
8,98,7,7,7,1,7,7,3,7,1,7,7,2,6,2,50
43,30,7,7,6,5,5,5,3,5,1,5,5,2,4,2,43
55,32,7,7,5,5,3,5,3,6,2,6,4,2,5,2,41
62,51,7,7,7,7,7,7,3,7,1,7,7,1,6,2,56
128,39,7,7,7,7,7,7,3,7,2,7,7,2,4,2,56
135,136,7,7,5,7,6,5,3,7,2,6,6,2,6,2,49
140,85,5,7,5,2,5,5,3,5,2,5,4,1,6,3,36
149,27,5,7,5,5,5,5,3,5,1,5,5,2,3,2,40
155,146,7,7,7,7,7,7,3,7,2,7,7,2,6,1,56
157,78,7,7,7,7,7,7,3,7,2,7,7,2,5,2,56
191,40,7,7,7,1,7,7,3,7,2,7,7,2,6,1,50
192,37,7,7,7,1,7,7,3,7,1,7,7,2,4,2,50
33,108,2,7,7,4,7,4,3,4,3,6,4,2,2,2,38
40,107,5,7,5,3,6,7,3,6,3,4,1,2,2,2,37
41,201,7,7,7,4,6,6,3,7,3,6,1,1,4,4,44
90,139,5,7,7,2,7,4,3,7,3,4,5,1,7,3,41
97,92,7,7,5,4,6,7,3,5,2,7,5,2,4,3,46
100,179,5,7,6,2,6,4,3,4,3,7,5,2,2,3,39
105,160,6,7,7,2,7,6,3,5,3,6,7,1,2,3,46
126,117,7,7,6,3,5,7,3,4,3,7,1,2,7,1,40
134,158,1,7,7,3,6,5,3,3,3,6,1,2,2,3,32
135,162,1,7,6,3,6,3,3,1,3,6,4,2,3,3,30
136,98,6,7,7,4,7,4,3,6,3,7,1,2,2,2,42
144,180,6,7,6,2,6,5,3,7,3,6,6,2,2,2,44
158,200,1,7,6,4,6,6,3,1,3,4,5,1,2,3,33
183,96,3,7,5,7,6,3,3,3,3,6,2,2,2,2,35
190,102,5,7,6,3,6,7,3,6,3,4,6,2,7,2,43
213,162,5,7,7,4,6,7,3,3,3,7,3,1,4,3,42
229,93,7,7,7,4,6,6,3,5,3,7,5,2,6,5,47
231,98,2,7,7,2,6,7,3,5,2,5,6,2,4,4,40
241,109,1,7,7,5,7,5,3,1,3,4,1,2,2,2,31
244,85,5,7,6,3,7,4,3,6,3,7,4,1,3,3,42
249,174,6,7,5,3,7,4,3,6,3,5,1,1,2,3,37
251,105,7,7,7,4,7,5,3,7,3,4,5,2,7,5,46
262,187,5,7,5,3,7,4,3,6,2,4,1,2,7,2,35
309,124,3,7,7,3,6,7,3,3,3,7,2,1,3,3,38
314,187,7,7,5,2,5,7,3,5,3,6,6,1,2,2,43
338,180,5,7,7,3,7,5,3,7,3,5,6,1,3,3,45
341,177,5,7,5,4,3,6,3,6,3,6,6,2,5,3,41
349,113,7,7,7,3,3,7,3,4,1,5,4,1,2,3,40
363,168,2,7,5,7,2,5,3,3,3,4,2,1,2,2,30
370,132,1,7,6,5,3,3,3,3,3,5,3,1,2,3,29
374,183,1,7,6,3,6,6,3,3,3,7,4,2,2,2,36
394,143,1,7,5,3,7,7,3,3,3,4,7,1,5,7,37
396,150,6,7,7,3,6,4,3,7,3,5,6,2,7,3,44
400,145,2,7,6,3,6,7,3,1,3,7,4,1,3,3,36
406,119,6,7,7,2,7,4,3,7,3,4,5,1,7,2,42
410,171,6,7,7,5,4,4,3,5,3,4,6,1,3,4,41
423,199,6,7,5,3,7,6,3,5,3,7,2,2,6,7,41
431,143,4,7,7,4,6,6,3,4,3,5,3,2,1,1,39
437,186,5,7,7,4,6,4,3,6,3,6,4,2,3,4,42
467,93,5,7,7,2,7,7,3,7,3,6,5,2,2,2,46
469,138,6,7,5,3,6,7,3,5,3,4,6,2,4,3,42
470,104,1,7,5,3,7,7,3,1,3,7,1,1,7,4,32
478,196,4,7,5,4,6,7,3,5,3,7,3,1,3,4,41
516,176,7,7,5,5,3,3,3,4,3,5,6,1,7,3,38
521,167,5,7,5,2,6,4,3,7,3,6,4,1,3,3,39
529,111,6,7,5,3,5,7,3,6,3,5,1,2,6,3,38
553,107,6,7,6,5,6,6,3,6,3,3,6,1,3,3,44
558,185,6,7,7,3,7,7,3,7,3,7,3,1,3,4,47
561,180,5,7,6,4,3,5,3,7,3,3,4,1,2,3,37
572,102,7,7,7,1,6,7,3,6,3,5,3,1,3,3,42
578,150,5,7,5,2,4,7,3,6,3,7,4,1,3,3,40
588,113,5,7,6,4,7,6,3,6,3,7,4,2,7,3,45
19,73,4,7,6,6,5,5,3,5,2,5,5,2,3,1,41
31,167,7,7,7,7,7,7,3,7,2,7,7,2,6,2,56
42,175,7,7,5,5,6,5,3,7,2,5,5,2,6,2,45
44,33,7,7,7,7,7,7,3,7,1,7,7,1,5,2,56
59,35,7,7,6,4,7,6,3,6,1,6,6,2,4,2,48
67,32,7,7,7,7,7,7,3,7,1,7,7,1,5,1,56
80,75,6,7,5,6,4,4,3,6,2,5,5,2,5,3,41
87,85,3,7,5,2,5,5,3,3,1,5,5,1,5,2,33
93,50,7,7,7,7,7,7,3,7,1,7,7,2,5,2,56
110,41,7,7,7,7,7,7,3,7,1,7,7,1,6,2,56
118,30,7,7,7,7,7,7,3,7,2,7,7,2,6,2,56
138,71,5,7,5,5,5,5,3,5,2,5,5,1,7,2,40
142,55,7,7,7,1,7,7,3,7,1,7,7,1,7,2,50
150,44,5,7,5,5,5,5,3,5,2,5,5,2,5,5,40
152,31,7,7,7,7,7,7,3,7,1,7,7,2,4,1,56
158,74,7,7,7,7,7,7,3,7,2,7,7,1,5,2,56
2,136,3,7,7,7,6,4,3,1,2,5,1,2,4,6,34
39,137,6,7,5,6,7,6,3,5,2,4,2,1,3,3,41
48,183,6,7,7,6,7,7,3,4,2,4,1,1,7,2,42
57,185,7,7,5,5,7,6,3,5,2,4,5,2,3,3,44
102,141,4,7,5,5,7,7,3,7,2,5,1,2,7,1,41
104,139,5,7,6,5,7,7,3,7,2,5,1,1,2,2,43
137,141,6,7,7,7,7,4,3,7,2,4,5,2,2,3,47
146,163,6,7,7,5,6,7,3,5,2,6,3,1,7,1,45
160,95,6,7,6,4,7,4,3,5,1,4,1,1,7,4,37
165,121,6,7,7,5,6,5,3,7,1,6,5,2,2,3,47
174,180,7,7,6,7,6,7,3,6,2,7,5,2,2,2,51
180,141,7,7,5,7,6,4,3,5,2,4,6,1,7,6,44
187,150,6,7,6,4,3,6,3,5,2,4,3,1,1,1,37
193,175,5,7,7,5,6,7,3,5,1,5,1,2,2,3,41
209,126,4,7,6,5,5,7,3,5,1,7,1,1,4,5,40
212,102,7,7,5,5,6,4,3,4,2,7,5,1,7,2,43
215,115,5,7,5,3,3,6,3,6,2,3,4,2,4,6,35
216,90,2,7,5,5,3,3,3,2,3,6,4,1,7,7,30
234,106,5,7,5,5,6,4,3,3,2,7,6,2,3,3,41
237,127,5,7,7,5,7,6,3,7,2,4,1,2,3,3,42
267,139,5,7,7,7,6,7,3,6,2,7,6,2,7,7,51
299,95,4,7,6,7,7,6,3,5,2,5,7,2,2,3,47
303,107,5,7,7,4,6,5,3,4,2,5,1,2,4,3,37
327,161,5,7,5,1,4,5,3,6,3,6,6,2,2,3,38
331,103,7,7,5,5,6,6,3,7,2,4,6,1,2,3,46
334,141,5,7,7,5,7,6,3,7,2,7,4,1,6,3,48
346,160,5,7,6,6,2,6,3,5,2,7,3,1,7,5,40
352,136,7,7,6,5,6,4,3,6,2,4,3,2,3,3,41
353,176,5,7,5,5,7,7,3,5,2,4,4,1,3,3,42
359,131,1,7,6,5,7,5,3,1,2,7,5,2,7,5,37
366,155,1,7,7,5,5,6,3,1,2,6,5,1,2,2,36
369,149,7,7,7,5,6,5,3,5,2,4,3,2,2,3,42
382,138,5,7,7,5,6,4,3,6,2,5,5,1,2,2,43
385,109,7,7,7,4,6,7,3,7,3,7,1,2,2,2,46
393,200,7,7,6,5,6,6,3,5,2,7,4,2,5,3,46
398,155,6,7,6,7,7,7,3,6,2,7,1,2,2,2,47
413,186,7,7,5,7,4,6,3,7,2,7,1,1,2,3,44
436,130,5,7,7,5,6,4,3,6,2,5,6,2,7,2,44
440,168,7,7,7,6,7,6,3,5,2,5,6,1,5,3,49
441,169,7,7,6,3,6,6,3,4,2,6,4,2,2,3,42
445,202,5,7,7,7,7,7,3,6,2,5,5,2,2,3,49
446,117,7,7,6,7,6,6,3,5,3,3,4,2,4,5,44
448,113,7,7,7,7,6,5,3,7,2,4,6,1,1,1,49
465,151,2,7,5,5,4,5,3,4,2,6,4,2,2,3,35
500,191,5,7,6,6,7,7,3,5,2,7,4,1,2,2,47
534,115,2,7,7,6,7,6,3,2,2,4,1,2,3,3,35
546,111,5,7,5,7,7,5,3,6,2,4,5,1,1,1,44
555,164,1,7,5,2,6,6,3,4,2,3,1,2,1,1,28
556,168,2,7,5,4,4,7,3,4,2,4,5,1,3,3,35
586,139,6,7,7,6,6,7,3,7,2,5,6,1,1,1,50
596,149,3,7,7,5,6,4,3,5,2,5,1,2,2,3,36
597,112,6,7,7,7,6,4,3,5,2,5,4,2,7,5,44
