index,totalseconds,Pre_nuts_attitude,Senario,Impression_of_host_or_comments,Halo_or_Bandwagon_effect_feedback,After_nuts_attitude,Buying_intention,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimagedirectionoflivecomments,Eventuallydoyouliketheproduct,Doyouagreetobuyeventually,Gender,Age,Monthlyincome,totalvalue
99,59,7,3,4,7,7,1,3,7,1,4,1,1,4,1,38
103,918,7,3,4,3,7,5,3,6,4,7,7,1,3,1,46
109,121,7,3,4,7,4,4,3,7,1,4,4,2,6,3,41
180,36,5,3,4,3,5,5,3,3,1,3,2,2,4,2,30
189,36,4,3,4,4,5,5,3,4,4,5,5,1,2,2,36
17,91,5,3,4,6,6,7,3,7,1,7,4,2,4,3,46
21,153,5,3,4,7,6,6,3,4,1,7,3,1,2,2,42
22,112,5,3,4,6,5,6,3,7,1,5,4,2,3,3,42
30,171,7,3,4,5,4,7,3,4,1,6,4,1,4,3,41
43,131,5,3,4,7,7,6,3,6,1,7,7,1,4,7,49
73,98,6,3,4,6,4,5,3,3,1,7,6,1,1,1,41
78,147,4,3,4,4,4,2,3,1,1,2,4,2,6,6,25
115,161,6,3,4,5,7,7,3,5,1,5,5,2,4,6,44
148,193,1,3,4,1,4,2,3,3,1,4,1,2,2,2,20
172,107,6,3,4,5,5,5,3,4,1,7,1,1,7,1,37
178,136,1,3,4,1,2,1,3,2,1,2,6,1,3,4,19
192,145,6,3,4,5,4,5,3,6,1,7,5,2,7,3,42
206,161,6,3,4,5,3,5,3,3,1,4,3,2,4,3,33
221,125,7,3,4,6,4,6,3,6,1,7,4,2,2,2,44
222,155,6,3,4,6,5,7,3,6,1,6,6,1,1,1,46
258,87,3,3,4,6,4,7,3,5,1,6,4,1,3,4,39
270,139,6,3,4,5,5,7,3,5,1,6,4,1,3,3,42
307,111,6,3,4,4,7,5,3,5,1,6,4,1,1,1,41
315,179,6,3,4,6,6,6,3,6,4,6,4,1,3,4,44
340,99,6,3,4,5,4,5,3,5,1,6,4,2,3,4,39
343,126,3,3,4,2,4,2,3,2,1,2,5,2,3,3,24
375,145,5,3,4,7,6,5,3,6,1,6,1,2,3,3,40
397,192,5,3,4,5,5,7,3,4,1,7,1,1,3,4,38
407,182,5,3,4,6,5,4,3,7,1,7,3,2,7,3,41
409,151,5,3,4,5,4,7,3,7,1,4,2,1,2,2,38
538,167,6,3,4,1,1,1,3,5,1,1,6,2,3,4,25
541,116,5,3,4,6,6,7,3,7,1,6,6,1,7,2,47
49,60,5,3,4,5,5,5,3,6,4,4,4,2,2,2,38
108,55,7,3,4,5,5,4,3,5,1,5,5,1,2,2,40
115,122,4,3,4,5,5,4,3,4,2,4,4,1,6,2,34
137,75,4,3,4,3,4,5,3,4,1,5,5,1,4,2,34
161,104,4,3,4,4,3,5,3,3,3,4,2,2,7,1,29
170,272,5,3,4,2,5,5,3,5,2,5,5,1,2,2,36
187,26,4,3,4,4,4,4,3,4,1,4,4,1,4,3,32
93,193,6,3,4,4,5,4,3,7,2,6,5,2,4,7,41
141,139,1,3,4,6,5,3,3,1,2,5,6,2,4,6,31
177,160,3,3,4,5,6,7,3,4,2,6,4,2,7,3,39
230,191,1,3,4,6,5,7,3,2,2,5,1,1,6,4,31
236,110,2,3,4,5,3,3,3,2,2,5,4,2,3,3,28
274,131,5,3,4,6,6,7,3,4,2,7,4,1,2,2,43
294,170,5,3,4,7,7,6,3,7,2,4,1,2,7,5,41
306,129,5,3,4,5,6,7,3,6,4,4,2,2,7,1,39
311,151,6,3,4,4,5,5,3,6,2,6,4,1,2,2,40
320,192,5,3,4,6,7,7,3,7,2,7,1,1,7,2,44
344,186,6,3,4,7,7,5,3,3,2,6,1,1,2,3,39
387,193,5,3,4,7,6,5,3,4,2,6,1,1,2,3,38
401,138,5,3,4,6,4,6,3,7,2,7,1,2,2,3,40
475,194,1,3,4,6,7,7,3,1,2,4,1,2,2,2,31
505,84,3,3,4,5,6,7,3,5,2,6,5,2,7,2,41
530,200,2,3,4,2,2,4,3,5,2,4,3,1,1,1,26
551,136,7,3,4,5,5,7,3,6,4,6,5,1,7,4,45
557,184,7,3,4,7,4,7,3,6,2,5,5,2,4,4,45
567,200,6,3,4,5,5,7,3,5,2,7,3,2,2,2,42
583,114,5,3,4,6,5,4,3,4,2,4,3,2,4,7,35
589,182,5,3,4,6,5,4,3,5,2,5,5,1,2,2,39
594,105,5,3,4,5,4,5,3,7,2,7,1,1,7,1,38
601,185,5,3,4,4,6,7,3,7,2,6,4,2,2,3,43
41,41,5,3,4,4,4,4,3,4,1,4,4,2,6,2,33
91,26,7,3,4,4,4,4,3,7,2,4,4,1,3,1,38
102,64,6,3,4,5,4,4,3,5,3,4,4,2,2,4,36
112,49,7,3,4,5,4,5,3,5,3,5,5,1,4,2,40
134,163,7,3,4,6,7,6,3,6,4,4,4,2,6,2,44
169,51,3,3,4,3,5,5,3,5,4,4,4,1,4,7,33
185,87,4,3,4,4,4,4,3,3,1,4,4,2,4,2,31
193,79,6,3,4,4,3,5,3,4,3,5,4,1,5,1,35
6,114,7,3,4,6,6,7,3,6,3,4,3,2,2,2,43
13,152,4,3,4,5,5,4,3,6,3,6,4,2,2,3,38
29,89,6,3,4,5,7,6,3,6,3,6,3,1,4,7,43
31,127,1,3,4,6,5,6,3,1,3,6,3,1,2,3,32
37,155,5,3,4,6,4,7,3,6,3,4,7,2,2,2,43
44,99,5,3,4,5,6,5,3,4,3,4,5,1,7,1,38
49,175,5,3,4,5,7,5,3,7,3,6,5,2,1,1,44
58,93,6,3,4,6,7,7,3,7,3,6,6,1,2,3,49
62,120,2,3,4,5,5,5,3,5,3,2,2,1,5,3,30
72,99,2,3,4,5,4,2,3,3,3,4,4,1,4,6,28
109,112,5,3,4,5,5,7,3,6,3,6,1,2,7,5,39
124,177,6,3,4,6,5,4,3,6,4,5,4,2,3,3,40
157,112,7,3,4,5,7,6,3,7,3,6,5,2,7,5,47
